WORD                           | IPA
------------------------------------------------------------
c-класа                        | sˈibɡkɫˈasɐ
g-класа                        | d͡ʒˈibɡkɫˈasɐ
s-образен                      | ˈɛsbɡˈobrˈazen
аа-я                           | aˈajɐ
аварийно-възстановителен       | avˈarijnˈovɤsstanˈovitˈelen
аварийно-спасителен            | avˈarijnˈospˈasitˈelen
авиационно-космически          | ɐviat͡sˈionnˈokosmˈit͡ʃeski
австрийско-американски         | ˈafstrijskˈoɐmerˈikɐnskˈi
австрийско-британски           | ˈafstrijskˈobrˈitɐnskˈi
австрийско-български           | ˈafstrijskˈobɤɫɡˈarski
австрийско-германски           | ˈafstrijskˈoɡˈermɐnskˈi
австрийско-гръцки              | ˈafstrijskˈoɡrˈɤt͡skˈi
австрийско-италиански          | ˈafstrijskˈoitalˈiɐnskˈi
австрийско-канадски            | ˈafstrijskˈokˈanɐt͡skˈi
австрийско-словенски           | ˈafstrijskˈosɫˈovenskˈi
австрийско-унгарски            | ˈafstrijskˈoˈunɡɐrskˈi
австрийско-френски             | ˈafstrijskˈofrˈenskˈi
австрийско-чешки               | ˈafstrijskˈot͡ʃeʃkˈi
австро-американски             | ˈafstroɐmerˈikɐnskˈi
австро-унгария                 | ˈafstro-oŋˈɡarijɐ
австро-унгария                 | ˈafstroˈunɡɐrˈijɐ
австро-унгарски                | ˈafstroˈunɡɐrskˈi
авто-мото-велочасти            | ˈaftomˈotˈoveɫot͡ʃˈasti
авто-мотоклуб                  | ɐftˈomˈotˈokɫubˈɤ
агент-провокатор               | ɐˈɡɛnt-provoˈkator
агент-провокатор               | ˈaɡenɤtˈɤprovˈokɐtˈor
агент-провокаторче             | ˈaɡenɤtˈɤprovokatˈort͡ʃe
аграрно-индустриален           | ˈaɡrɐrnˈoindustrˈiɐlˈen
аграрно-промишлен              | ˈaɡrɐrnˈoprˈomiʃlˈen
агро-лесомелиоративен          | ˈaɡrolesomelioratˈiven
агро-лесомелиорация            | ˈaɡrolesomeliorˈat͡siɐ
административно-команден       | ɐdministrˈativnˈokˈomɐndˈen
административно-наказателен    | ɐdministrˈativnˈonakˈazɐtˈelen
административно-стопански      | ɐdministrˈativnˈostˈopɐnskˈi
административно-териториален   | ɐdministrˈativnˈoteritorˈiɐlˈen
административно-технически     | ɐdministrˈativnˈotˈexnit͡ʃˈeski
административно-управленски    | ɐdministrˈativnˈouprˈavlenskˈi
акушер-гинеколог               | akˈuʃerˈɤɡinekˈoɫok
акушер-гинеколог               | ɐkoˈʃɛrɡinɛkoˈɫɔk
